Date,Open-amzn,High-amzn,Low-amzn,Close-amzn,Adj Close-amzn,Volume-amzn,SMA-7,SMA-21,SMA-90,Change,% Change,Gain,Loss,Average Gain,Average Loss,RS,RSI-14 Day,TR,DM+1,DM-1,TR-14,DM+1-14,DM-1+14,dl+1-14,dl-1-14,dl14diff,dl14sum,DX,ADX
2/5/19,1643.339966,1665.26001,1642.5,1658.810059,1658.810059,4453100,1648.468593,1654.487154,1667.797561,25.5,1.561246737,25.5,0,19.05208747,17.01582914,1.119668476,52.82281114,31.949951,15.630005,0,680.729734,191.749877,217.810058,28.16828286,31.99655416,3.828271295,60.16483702,6.362971271,25.76717779
2/6/19,1670.75,1672.26001,1633.339966,1640.26001,1640.26001,3939900,1648.807164,1654.999058,1664.079895,-18.550049,-1.118274446,0,18.550049,17.69122408,17.12541627,1.033039069,50.81255372,38.920044,0,9.160034,689.209837,161.909911,226.970092,23.4921068,32.93192868,9.439821881,56.42403549,16.7301431,22.37139882
2/7/19,1625,1625.540039,1592.910034,1614.369995,1614.369995,4626600,1651.734305,1652.98906,1659.650895,-25.890015,-1.578409206,0,25.890015,16.42756522,17.75145904,0.925420563,48.06329489,47.349976,0,40.429932,713.889769,161.909911,267.400024,22.67995957,37.45676652,14.77680695,60.13672609,24.57201765,19.53575374
2/8/19,1586,1588.589966,1566.76001,1588.219971,1588.219971,5657500,1639.990008,1649.598581,1655.042228,-26.150024,-1.619828421,0,26.150024,15.2541677,18.35135653,0.831228344,45.39184568,47.609985,0,26.150024,736.839842,145.880004,293.550048,19.79806135,39.83905745,20.0409961,59.63711881,33.60490329,17.57781203
2/11/19,1600.97998,1609.290039,1586,1591,1591,3317300,1621.742868,1646.492868,1650.449339,2.780029,0.175040552,2.780029,0,14.36315779,17.04054535,0.842881345,45.73714675,23.290039,20.700073,0,674.129881,166.580077,212.20996,24.71038322,31.47909119,6.768707972,56.18947441,12.04622048,16.55466631
2/12/19,1604,1639.400024,1598.880005,1638.01001,1638.01001,4858600,1623.425729,1646.371437,1646.746006,47.01001,2.954746072,47.01001,0,16.69507581,15.82336354,1.0550902,51.34033534,48.400024,30.109985,0,677.099851,196.690062,212.20996,29.0489005,31.34101413,2.292113634,60.38991463,3.795523885,15.42701948
2/13/19,1647,1656.380005,1637.109985,1640,1640,3560300,1624.381435,1647.456677,1643.270894,1.98999,0.121488269,1.98999,0,15.64471254,14.69312329,1.064764259,51.56832091,19.27002,16.979981,0,670.88989,213.670043,212.20996,31.84874987,31.6311161,0.217633776,63.47986597,0.34283906,14.0527523
2/14/19,1624.5,1637.900024,1606.060059,1622.650024,1622.650024,4120500,1619.215716,1644.98477,1640.084561,-17.349976,-1.057925366,0,17.349976,14.52723307,14.88289848,0.97610241,49.39533522,33.939941,0,31.049926,676.279905,187.450073,243.259886,27.71782388,35.97029635,8.252472473,63.68812023,12.95763235,14.10774783
2/15/19,1627.859985,1628.910034,1604.5,1607.949951,1607.949951,4343900,1614.599993,1641.373814,1636.95456,-14.700073,-0.905929978,0,14.700073,13.48957357,14.86983952,0.907176809,47.56647652,24.410034,0,1.560059,644.209959,187.450073,197.299926,29.09766768,30.62664947,1.528981796,59.72431715,2.560065764,13.24101624
2/19/19,1601,1634,1600.560059,1627.579956,1627.579956,3681700,1616.48713,1638.248099,1634.323003,19.630005,1.220809453,19.630005,0,13.92817581,13.80770812,1.008724669,50.21716936,33.439941,5.089966,0,630.479856,192.540039,173.929931,30.53865039,27.58691326,2.951737129,58.12556365,5.078208182,10.99425231
2/20/19,1630,1634.930054,1610.119995,1622.099976,1622.099976,3337600,1621.327131,1634.719529,1631.565004,-5.47998,-0.33669498,0,5.47998,12.93330611,13.2128704,0.978841517,49.46538208,24.810059,0.930054,0,572.219969,148.900147,173.929931,26.02148738,30.39564161,4.374154234,56.41712899,7.753237912,10.15712596
